"Trait","cage_id","predicted.values","standard.errors","weights"
"sep_21","1",0.418,0.072,171.724759075511
"sep_21","2",0.37,0.088,120.263117008748
"sep_21","3",0.406,0.072,170.693146301245
"sep_21","4",0.587,0.072,177.178503786461
"sep_21","5",0.326,0.072,172.838828491631
"sep_21","6",0.639,0.071,176.103647180753
"sep_21","7",0.398,0.071,176.931976347789
"sep_21","8",0.249,0.071,174.078635008152
"sep_21","9",0.383,0.071,175.173491629597
"sep_21","10",0.45,0.071,176.598129446146
"sep_21","11",0.593,0.071,176.867570298854
"sep_21","12",0.853,0.087,121.451009435988
"sep_21","13",0.52,0.071,175.961500469096
"sep_21","14",0.399,0.071,176.298802243474
"sep_21","15",0.511,0.071,176.696220803437
"sep_21","16",0.384,0.071,175.001949883674
"sep_21","17",0.486,0.071,178.022190289358
"sep_21","18",0.495,0.071,175.616405626515
"sep_21","19",0.21,0.071,178.499996152102
"sep_21","20",0.492,0.071,178.384164231264
"sep_21","21",0.474,0.071,177.304154898071
"sep_21","22",0.409,0.072,179.255594668612
"sep_21","23",0.653,0.071,177.485213831239
"sep_21","24",0.449,0.072,175.287679917563
"sep_21","25",0.408,0.071,177.668670209057
"sep_21","26",0.578,0.071,178.408854470899
"sep_21","27",0.371,0.071,179.086114629149
"sep_21","28",0.546,0.072,177.970536031999
"sep_21","29",0.421,0.072,174.422303161885
"sep_21","30",0.756,0.071,176.207475387245
"sep_21","31",0.477,0.072,176.218856732384
"sep_21","32",0.6,0.072,179.345632531732
"sep_21","33",0.384,0.072,176.337589447722
"sep_21","34",0.5,0.088,121.960978354614
"sep_21","35",0.662,0.071,175.065033161031
"sep_21","36",0.09,0.087,121.630637790175
"sep_21","37",0.541,0.072,172.320598677067
"sep_21","38",0.425,0.072,172.391468919
"sep_21","39",0.385,0.071,177.183257225292
"sep_21","40",0.398,0.072,177.144876111755
"sep_21","41",0.424,0.072,175.789993797069
"sep_21","42",0.539,0.071,175.296876869641
"sep_21","43",0.443,0.071,174.850576478189
"sep_21","44",0.504,0.071,176.715884723162
"sep_21","45",0.426,0.071,178.035127323348
"sep_21","46",0.634,0.071,173.335910340436
"sep_21","47",0.363,0.071,172.292099074554
"sep_21","48",0.419,0.071,176.206757162503
"sep_21","49",0.344,0.072,177.890225792457
"sep_21","50",0.339,0.071,177.965777445552
"sep_21","51",0.259,0.071,178.752998551272
"sep_21","52",0.422,0.071,178.103084856797
"sep_21","53",0.662,0.071,175.038443459249
"sep_21","54",0.543,0.071,179.33399925151
"sep_21","55",0.437,0.071,180.028833969334
"sep_21","56",0.94,0.071,179.309682540485
"sep_21","57",0.324,0.072,177.016336250732
"sep_21","58",0.303,0.071,178.562394462625
"sep_21","59",0.532,0.071,178.663944640601
"sep_21","60",0.414,0.071,180.320297286192
"sep_21","61",0.583,0.071,177.498152827783
"sep_21","62",0.561,0.071,180.470399129187
"sep_21","63",0.181,0.071,178.755295239878
"sep_21","64",0.492,0.071,178.152773614499
"sep_21","65",0.385,0.072,176.879313823972
"sep_21","66",0.672,0.071,178.260677633489
"sep_21","67",0.478,0.071,174.139020796535
"sep_21","68",0.329,0.072,176.782587270588
"sep_21","69",0.388,0.071,176.21693396519
"sep_21","70",0.441,0.071,176.922622175296
"sep_21","71",0.476,0.071,178.658003800321
"sep_21","72",0.649,0.071,174.13587172787
"sep_21","73",0.318,0.071,176.3879722274
"sep_21","74",0.525,0.071,174.551205228153
"sep_21","75",0.568,0.071,178.030896299335
"sep_21","76",0.39,0.071,175.483433122139
"sep_21","77",0.53,0.071,176.774642388204
"sep_21","78",0.219,0.071,174.897124547797
"sep_21","79",0.52,0.071,178.20488328528
"sep_21","80",0.462,0.071,175.14085592574
"sep_21","81",0.584,0.071,176.358360900393
"sep_21","82",0.311,0.071,175.84218549961
"sep_21","83",0.401,0.071,178.226877700715
"sep_21","84",0.437,0.072,176.005753915359
"sep_21","85",0.492,0.071,176.507783018834
"sep_21","86",0.291,0.071,178.847451161925
"sep_21","87",0.524,0.071,178.948269328147
"sep_21","88",0.516,0.071,179.157507533725
"sep_21","89",0.445,0.071,177.965320739122
"sep_21","90",0.62,0.071,179.318011426842
"sep_21","91",0.626,0.071,178.725834968615
