"cage_id","sep_21","may_22","jul_22","aug_22","sep_22","may_23","jun_23","jul_23","aug_23"
"1",0.418,0.671,2.015,0.99,0.936,1.366,0.686,0.371,1.075
"2",0.37,1.67,2.473,1.366,1.199,1.624,0.771,0.525,1.209
"3",0.406,2.341,2.498,1.292,1.07,1.895,0.666,0.569,1.349
"4",0.587,1.736,2.213,1.013,0.89,1.269,0.553,0.401,0.79
"5",0.326,0.597,1.815,0.56,0.568,1.228,0.369,0.399,1.013
"6",0.639,3.156,2.235,1.626,1.308,2.255,1.009,0.681,1.583
"7",0.398,1.39,2.14,1.165,1.057,2.469,0.823,0.811,1.4
"8",0.249,0.907,1.387,0.612,0.66,1.003,0.313,0.234,1.169
"9",0.383,1.296,1.399,0.982,0.801,2.003,0.993,0.623,1.235
"10",0.45,2.441,1.724,0.804,0.774,0.626,1.001,0.61,1.375
"11",0.593,2.872,2.324,1.33,1.12,1.546,1.038,0.367,1.414
"12",0.853,2.244,3.303,1.35,1.022,4.906,1.043,0.466,1.081
"13",0.52,1.978,1.788,1.005,0.844,2.344,0.58,0.345,1.198
"14",0.399,1.665,1.989,1.352,0.982,1.413,0.229,0.14,0.906
"15",0.511,2.587,2.761,1.463,1.18,3.028,1.322,0.616,1.156
"16",0.384,0.906,1.923,0.91,0.707,1.569,0.515,0.367,1.198
"17",0.486,1.648,1.826,0.905,0.897,2.049,0.755,0.344,1.072
"18",0.495,0.788,1.248,0.932,1.039,2.359,0.99,0.474,0.799
"19",0.21,0.314,0.822,0.516,0.481,1.149,0.66,0.332,0.984
"20",0.492,1.296,1.4,0.679,0.663,1.381,0.446,0.386,1.037
"21",0.474,1.403,2.077,1.265,0.746,1.859,0.697,0.34,1.164
"22",0.409,1.037,1.355,0.836,1.019,2.622,0.926,0.668,1.397
"23",0.653,2.796,2.808,1.865,1.351,2.274,1.33,0.706,1.325
"24",0.449,0.115,1.31,0.426,0.43,0.662,0.451,0.054,0.607
"25",0.408,1.288,1.749,1.141,1.017,2.331,0.73,0.562,1.355
"26",0.578,0.948,1.737,1.076,1.077,2.423,0.804,0.527,1.264
"27",0.371,1.356,1.666,1.193,1.095,1.931,0.884,0.66,1.283
"28",0.546,1.309,1.698,1.147,0.869,1.951,0.539,0.491,1.016
"29",0.421,1.906,1.955,1.264,0.966,1.943,0.743,0.564,1.282
"30",0.756,2.655,3.133,1.624,1.292,2.508,1.382,0.649,1.423
"31",0.477,0.581,1.912,1.181,0.739,1.194,0.648,0.579,1.201
"32",0.6,0.996,1.602,1.184,1.01,2.011,0.606,0.363,1.182
"33",0.384,1.093,1.537,0.694,0.716,1.986,0.406,0.307,0.961
"34",0.5,2.263,2.302,1.198,1.288,2.685,1.29,0.551,1.378
"35",0.662,2.568,2.724,1.67,1.431,2.055,1.258,0.926,1.353
"36",0.09,0.704,-0.077,0.004,0.18,0.974,0.071,0.11,0.528
"37",0.541,2.123,2.543,1.044,0.963,2.101,0.914,0.637,1.363
"38",0.425,1.671,2.261,0.801,0.576,1.697,0.62,0.405,1.116
"39",0.385,1.576,2.052,1.063,0.968,1.684,1.017,0.563,1.022
"40",0.398,2.182,1.739,1.05,0.766,1.868,0.871,0.175,0.991
"41",0.424,1.155,1.545,1.082,0.928,1.641,0.558,0.396,1.017
"42",0.539,1.439,1.923,1.048,0.93,1.901,1.076,0.741,1.73
"43",0.443,1.506,1.764,0.792,0.754,1.844,0.804,0.654,1.09
"44",0.504,2.054,1.897,0.712,0.836,2.169,1.014,0.503,1.826
"45",0.426,0.823,1.316,0.833,0.699,1.221,0.542,0.584,1.058
"46",0.634,2.59,2.237,1.488,1.214,2.052,1.18,0.432,1.301
"47",0.363,1.6,2.198,1.082,0.877,2.112,0.926,0.432,0.983
"48",0.419,0.636,1.392,0.51,0.513,0.928,0.562,0.362,0.678
"49",0.344,0.787,1.013,0.887,0.709,0.98,0.554,0.387,1.079
"50",0.339,0.726,1.179,0.603,0.538,0.732,0.201,0.283,0.716
"51",0.259,0.657,1.205,0.684,0.707,1.46,0.646,0.477,1.641
"52",0.422,1.84,2.087,1.313,1.176,2.172,1.053,1.012,1.973
"53",0.662,2.331,2.119,1.38,1.28,2.675,1.023,0.614,1.536
"54",0.543,2.203,2.381,1.48,1.154,2.306,0.764,0.617,1.442
"55",0.437,0.725,1.427,0.7,0.436,1.161,0.476,0.629,1.258
"56",0.94,3.021,2.367,1.299,1.349,3.424,1.035,0.597,1.404
"57",0.324,1.036,1.866,0.894,0.787,1.919,0.613,0.5,1.014
"58",0.303,0.729,1.462,0.852,0.622,1.385,0.513,0.331,1.541
"59",0.532,1.674,2.114,1.046,0.997,1.994,0.653,0.945,1.233
"60",0.414,0.743,1.421,0.928,0.774,1.528,0.597,0.35,0.851
"61",0.583,2.592,2.114,1.128,1.128,2.268,0.829,0.681,1.453
"62",0.561,1.811,1.977,1.285,1.204,1.361,0.806,0.447,1.254
"63",0.181,0.138,0.733,0.637,0.834,0.515,0.26,0.272,0.771
"64",0.492,2.046,2.095,1.072,0.917,2.059,0.507,0.394,1.276
"65",0.385,1.76,2.28,1.088,0.864,2.416,0.614,0.33,1.023
"66",0.672,3.237,2.936,1.528,1.456,2.646,1.094,0.864,1.717
"67",0.478,0.519,2.267,1.071,0.901,2.45,0.484,0.458,0.958
