CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
1,Plot 1,1,1,1,1,0.48,0.54,2.35,1.3,0.78,4.97,65,32.5,20,45.72
2,Plot 2,2,1,2,1,0.25,1.42,2.3,1.71,1.13,6.56,59.5,39,30,58.42
3,Plot 3,3,1,3,1,0.25,2.04,2.29,1.42,0.85,6.6,64.35,50.5,41,55.88
4,Plot 4,4,1,4,1,0.58,1.86,2.29,1.38,0.78,6.31,58,49.5,32.5,43.18
5,Plot 5,5,1,5,1,0.35,0.24,4.3,0.53,0.21,5.28,66.4,22,13,30.48
6,Plot 6,6,1,6,1,0.58,2.93,0.97,2.12,1.21,7.23,67.5,38,45.5,53.34
7,Plot 7,7,1,7,1,0.35,1.77,2.8,1.53,0.94,7.04,62.3,37.5,41,55.88
8,Plot 8,8,1,8,1,0.15,0.88,1.92,0.73,0.57,4.1,61.1,20,31,38.1
9,Plot 9,9,1,9,1,0.28,1.6,0.94,1.61,1.11,5.26,58.65,37.5,33,55.88
10,Plot 10,10,1,10,1,0.4,2.7,2.33,1.53,1.05,7.61,61.9,34,44,50.8
11,Plot 11,11,1,11,1,0.55,2.86,2.24,1.8,1.16,8.06,56.35,43,42,55.88
12,Plot 12,12,1,12,1,0.65,1.8,2.66,1.23,0.55,6.24,63.75,31.5,33.5,45.72
13,Plot 13,13,1,13,1,0.53,1.54,1.98,1.1,0.54,5.16,66.65,38.5,38.5,48.26
14,Plot 14,14,1,14,1,0.6,1.85,1.45,1.65,0.75,5.7,58.55,41.5,31.5,45.72
15,Plot 15,15,1,15,1,0.5,2.42,2.88,1.76,1.1,8.16,62.95,42.5,37.5,53.34
16,Plot 16,16,1,16,1,0.43,1,2.43,0.85,0.6,4.88,62.3,20.5,24,33.02
17,Plot 17,17,1,17,1,0.63,1.68,1.2,1.02,0.79,4.69,70.3,40,31.5,30.48
18,Plot 18,18,1,18,1,0.45,1.26,4.32,1.3,1.26,8.14,69.3,35,26,38.1
19,Plot 19,19,1,19,1,0.33,0.59,0.9,0.92,0.69,3.1,65.45,41,20,35.56
20,Plot 20,20,1,20,1,0.63,1.25,1.35,0.66,0.49,3.75,59,26,22.5,33.02
